#TAG,NAME,TIER,DEPS,PURPOSE
,ntfs-3g,11,system,Accessing NTFS partitions.
A,opencode-bin,11,dev,Relays code agents via AI gateway.
,pass,11,otp,Standard UNIX password manager (used by otp script).
,pass-otp,11,otp,GPG-based 2FA one-time password extension for pass.
,polkit-gnome,11,system,Displays admin authentication GUI.
,rate-mirrors,11,system,Ranks Arch Linux mirrorlists.
,smartmontools,11,system,Tests hard drive S.M.A.R.T. health.
,udiskie,11,system,Removable media automounter with tray notification support.
,ueberzugpp,11,lf,Enables image previews in the lf file manager (required dependency of lf).
,unrar,11,system,Extracts RAR archives.
,unzip,11,system,Unzips zip archives (used by archive extractor scripts).
,usbutils,11,system,Queries USB details on CLI (lsusb).
,vulkan-intel,11,intel,Vulkan graphics API to Intel cards.
,vulkan-tools,11,intel,Vulkan utilities (vulkaninfo).
,xdg-desktop-portal-gtk,11,system,GTK implementation for portals.
,xfce4-power-manager,11,system,"Power manager for battery, display brightness and sleep on lid close."
A,yay-bin,11,system,AUR package compilation helper.
,zip,11,system,Creates ZIP archives.
,zsh,11,zsh,Zsh utility.
